"hotel_name";"food_type";"location";"rating";"delivery_time";"offer_percentage";"offer_upto"
"Five Star";"Fast Food, Burgers, Snacks";"Malad Kan East";"4.5 ";"23";"0";"Not Available"
"Arihant Dugdhalay";"Desserts, Sweets";"Borivali";"4.4 ";"25";"0";"Not Available"
"Al Arabian Shawarma";"Arabian, Lebanese, Kebabs, Salads, Beverages, Middle Eastern";"Kandivali East";"2.7 ";"25";"0";"Not Available"
"Bombay Sultaani Biryani House";"Indian, Biryani";"Malad Kan East";"4 ";"31";"60";"120"
"East Asia - Indian | Asian | Continental";"Chinese, Italian, Thai, Asian, Indian, Tandoor, Continental, Sushi, Pizzas, Salads";"Borivali West";"4.2 ";"42";"0";"Not Available"
"Joey's Pizzeria-Kandivali (E)";"Pizzas, Chinese, Desserts, Burgers, Pastas, Italian";"Kandivali East";"3.7 ";"44";"50";"100"
"The Chocolate Heaven";"Desserts, Italian, Snacks";"Borivali West";"4.1 ";"34";"Not Available";"449"
"Pavbhaji Bistro";"Indian, Fast Food";"Kandivali East";"4.3 ";"29";"0";"Not Available"
"New Wanton Point";"Indian, Chinese";"Kandivali East";"4.4 ";"24";"40";"80"
"Delicacy Of Mewar";"Snacks";"Malad Kan East";"3.8 ";"41";"10";"1000"
"Ek Bihari - The Bihar Diaries";"Indian, Seafood";"Kandivali East, Thakur Village";"3.7 ";"35";"50";"100"
"Yamu's Panchayat";"Paan";"Malad Kan East";"4.9 ";"16";"0";"Not Available"
"Vividh NX";"Chinese, Oriental, Indian";"Kandivali East";"4.4 ";"35";"10";"40"
"Kumar's Cafe";"Beverages, South Indian";"Borivali";"3.2 ";"26";"0";"Not Available"
"Makhani Darbar";"North Indian, Kebabs, Mughlai, Beverages, Desserts";"Thakur Village";"Not Available";"23";"50";"100"
"Baskin Robbins Happyness Shakes";"Beverages, Desserts";"Kandivali East";"3.8 ";"27";"30";"75"
"Pizza Town";"Pizzas, Beverages, Italian";"Malad Kan East";"3.9 ";"27";"30";"75"
"Jugheads";"Continental, Chinese, North Indian, American";"Kandivali East";"4.2 ";"30";"10";"40"
"Mahakali Fast Food & Juice Centre";"Indian, South Indian, Beverages, Awadhi";"Borivali West";"4.4 ";"33";"10";"600"
"Aakash";"Desserts, Snacks";"Kandivali West";"3.9 ";"29";"0";"Not Available"
"Gupta Bhelpuri House";"Snacks, Chaat";"Kandivali West";"4.2 ";"41";"0";"Not Available"
"Gaonthan The Family Restaurant";"North Indian, Chinese, Biryani";"Malad Kan East";"4.3 ";"36";"15";"45"
"The Avenue";"North Indian, Chinese, Tandoor, Indian, Seafood";"Malad Kan East";"4.5 ";"33";"0";"Not Available"
"Souffle Cake Shop";"Bakery";"Borivali West";"3.8 ";"25";"10";"700"
"Spring Fields";"North Indian, Chinese, Italian";"Borivali";"4.5 ";"40";"30";"75"
"Sheetal Dugdhalay";"Sweets";"Malad Kan East";"4.7 ";"33";"0";"Not Available"
"WA! Wok (Delicious Chinese)";"Chinese, Oriental, Asian, Burmese, Thai";"Dahisar";"4.3 ";"39";"0";"Not Available"
"One Minute chai Nashta";"Bengali, Snacks, Street Food";"Borivali";"4.5 ";"27";"0";"Not Available"
"Kuku's";"Chinese";"Borivali West";"4.2 ";"33";"Not Available";"999"
"RTC - Rolls And Fried Chicken";"Snacks, Fast Food, North Indian, Street Food";"Dahisar West";"4.2 ";"38";"Not Available";"449"
"Biryani Barbeque Chinese (BBC-Babhai Naka)";"Biryani, Chinese, North Indian, Punjabi, Kebabs, Afghani";"Borivali West";"4.5 ";"35";"0";"Not Available"
"Gokul Anand";"North Indian, Chinese, Beverages, South Indian";"Borivali";"4.5 ";"33";"0";"Not Available"
"Tuba Restaurant";"Chinese, North Indian, Biryani, Indian, Sweets, Salads, Snacks";"Malad Kan East";"4.1 ";"39";"Not Available";"499"
"The Veg Treat Express";"North Indian, Indian, Chinese, Italian, Mexican, Desserts";"Borivali West";"4.5 ";"36";"10";"1000"
"Pushti Tushti";"Indian";"Borivali West";"4.4 ";"38";"Not Available";"449"
"MM Mithaiwala.";"Sweets, Snacks, Bengali";"Malad Kan East";"4.3 ";"39";"Not Available";"449"
"Anhad Misal";"Snacks, North Indian";"Borivali";"4.1 ";"38";"Not Available";"499"
"Classic Pure Veg";"North Indian, Chinese";"Dahisar East";"4.4 ";"38";"10";"1500"
"SNS Mexican Shack";"Mexican, Salads, Burgers, Tex-Mex, Beverages, Fast Food";"Malad Kan West";"4.4 ";"59";"Not Available";"999"
"Stacks And Racks";"American";"Malad Kan West";"4.6 ";"56";"0";"Not Available"
"Marathi Mejwani";"Indian, South Indian, Seafood";"Dahisar";"4.3 ";"43";"0";"Not Available"
"Gupta Bhelpuri And Sandwich Corner";"Fast Food";"Borivali West";"4.2 ";"41";"0";"Not Available"
"Sanata Snacks";"Maharashtrian, Snacks, Beverages";"Dahisar West";"4.3 ";"46";"0";"Not Available"
"Mm Mithaiwala Fast Food";"Fast Food, South Indian, Indian, Snacks, Beverages";"Malad Kan West";"4.4 ";"44";"15";"800"
"Hotel Gopal Krishna";"South Indian";"Malad Kan West";"4.5 ";"46";"Not Available";"999"
"Satkar Rice Plate House";"Maharashtrian, Malwani, Seafood, Biryani";"Goregaon East";"4.6 ";"53";"10";"1500"
"Cafe Shalimar";"North Indian, Biryani, Desserts, Beverages";"Malad";"3.9 ";"44";"Not Available";"599"
"Arabian Shawarma Cafe";"Arabian, Lebanese, Snacks";"Borivali";"4.2 ";"43";"Not Available";"999"
"China Hunt";"Chinese, North Indian, Tandoor";"Malad East";"4.2 ";"48";"20";"100"
"Hotel Sai Palace Grand";"North Indian, Chinese, Biryani, Desserts, Continental, Mangalorean, Seafood, Italian, Fast Food";"Malad West";"4.5 ";"58";"0";"Not Available"
"Khaas Paratha";"North Indian";"Dahisar West";"4.4 ";"45";"0";"Not Available"
"Nischita Nxt";"Biryani, Chinese, North Indian, Seafood";"Borivali West";"4.4 ";"51";"Not Available";"999"
"Foodgerk - The Diet Parlour";"Continental, Salads";"Malad West";"4.3 ";"52";"Not Available";"499"
"Jay Prakash Bar & Restaurant";"Indian, Chinese";"Goregaon";"4.2 ";"55";"Not Available";"449"
"YUI";"Asian, Japanese";"Borivali West";"4.4 ";"50";"Not Available";"999"
"Sai Veg World Xpress";"South Indian, North Indian";"Malad Kan West";"4 ";"51";"Not Available";"449"
"Dessert Therapy";"Cakes and Pastries, Desserts, Beverages, Bakery";"Kandivali West";"4.6 ";"46";"0";"Not Available"
"Sammy Sosa";"Mexican, Asian";"Malad West";"4.4 ";"57";"Not Available";"899"
"Suka Sukhi";"Maharashtrian, Malwani";"Jog Gor East";"4.4 ";"50";"0";"Not Available"
"Queen Margherita's Pizzeria";"Pizzas, Italian-American";"Malad Kan West";"4.3 ";"61";"0";"Not Available"
"Curry and Combo Twist (Pure Veg)";"Indian";"Mum_Jog Gor East";"4.3 ";"44";"0";"Not Available"
"The Red Turtle - Pan Asian Bistro";"Pan-Asian, Chinese, Thai, Japanese, Singaporean";"Malad West";"4.4 ";"57";"0";"Not Available"
"The Veg Treat Royal";"North Indian, Indian, Chinese, Continental, South Indian";"Borivali";"4.5 ";"42";"0";"Not Available"
"Mangoes";"Mangalorean, Goan";"Malad Kan West";"4.4 ";"61";"0";"Not Available"
"Rangrezz Desi Restobar";"North Indian";"Borivali West";"4.4 ";"43";"0";"Not Available"
"Bansi Vadapav";"Fast Food";"Malad West";"4.2 ";"41";"0";"Not Available"
"Mumbaikar S Food House";"Indian, Thalis";"Malad Kan West";"4.3 ";"61";"0";"Not Available"
"Vivek Chinese corner";"Chinese";"Borivali West";"4.4 ";"44";"10";"1300"
"Pranayam (Pure Veg)";"North Indian, South Indian, Snacks";"Borivali";"4 ";"47";"Not Available";"249"
"Grab Some Momos Here";"Tibetan, Chinese";"Borivali";"4.5 ";"42";"0";"Not Available"
"Peco Peco";"Chinese, Asian, Thai";"Malad West";"4.4 ";"48";"0";"Not Available"
"Meetha By Radisson";"Desserts";"Goregaon West";"4.6 ";"54";"10";"40"
"Rasodu - The Ethnic Kitchen";"Indian, Thalis, Beverages";"Malad Kan West";"4.3 ";"44";"0";"Not Available"
"Kake Da Hotel (Since 1931)";"North Indian, Tandoor, Punjabi";"Jogeshwari West";"4.2 ";"53";"15";"800"
"# Thali";"North Indian, Chinese";"Borivali";"4.5 ";"52";"Not Available";"449"
"Sernyaa";"Tibetan, Chinese";"Ashok Enclave";"4.5 ";"56";"10";"900"
"Udipi Vihar (pure veg) restaurant";"Chinese, North Indian, South Indian, Tandoor, Biryani, Desserts";"Jog Gor East";"4.4 ";"50";"0";"Not Available"
"Shubh Sagar Restaurant";"Chinese, North Indian, South Indian";"Mira Road";"4.4 ";"52";"0";"Not Available"
"Ruchi Veg Restaurant";"South Indian, North Indian, Chinese, Tandoor, Biryani, Juices, Beverages, Mughlai, Home Food, Healthy Food, Italian, Mexican";"Goregaon";"4.1 ";"46";"10";"900"
"Jango's";"Chinese, North Indian, Biryani, Kebabs";"Malad West";"4.2 ";"55";"Not Available";"749"
"Konkan Chilly";"Konkan, North Indian, Chinese, Tandoor, Malwani";"Chincholi Bunder";"4.3 ";"56";"10";"1000"
"Flavours Of China (Evershine Nagar)";"Chinese";"Malad Borivali Area";"4.2 ";"51";"Not Available";"999"
"Landmark Kitchens";"Indian, Snacks, Pizzas, Chinese";"Goregaon";"4.4 ";"56";"0";"Not Available"
"Desi Shack- Acha Khao, Acha Khilao- By om snacks";"Indian, Fast Food, Snacks, Italian, Chinese, Beverages";"Jog Gor East";"4.1 ";"43";"0";"Not Available"
"Malgudi - Veg & Non-Veg Family Restaurant";"North Indian, Chinese, South Indian, Malwani";"Borivali West";"4.1 ";"48";"Not Available";"449"
"Shiv Sagar Malad";"Indian, Chinese";"Malad West";"4.2 ";"48";"10";"1200"
"Lalit Bakery";"Bakery, Desserts, Italian";"Borivali";"4.3 ";"51";"0";"Not Available"
"Namaskar The Family Restaurant";"North Indian, Chinese, Maharashtrian, Biryani";"Borivali East";"4.4 ";"49";"0";"Not Available"
"Green Tadka";"Indian";"Goregaon West";"4.4 ";"51";"0";"Not Available"
"Stir Fry Grill";"Chinese, Continental, Indian, Thai, Healthy Food, Pan-Asian";"Malad West";"4.3 ";"48";"Not Available";"449"
"Deepak Only Veg";"South Indian, Chinese, Indian";"Mumbai";"4.4 ";"49";"10";"600"
"Gulistan Family Restaurant";"Chinese";"Malad West";"4.1 ";"43";"10";"1300"
"Keto Treats";"Keto, Bakery, Ice Cream, Desserts";"Evershine nagar";"4.4 ";"52";"10";"900"
"Hotel Apala samadhan";"Malwani, Indian, Chinese";"Borivali West";"4.4 ";"49";"0";"Not Available"
"Ravindra Restaurant";"North Indian, South Indian, Chinese, Pizzas";"Dahisar East";"4.5 ";"43";"0";"Not Available"
"Apricot foods";"Sweets, Fast Food, Chaat, Snacks, Desserts, Gujarati, Maharashtrian";"Borivali West";"4.5 ";"43";"Not Available";"999"
"Sattvik Tiffin Co";"North Indian, Chinese";"Jog Gor East";"4.4 ";"44";"0";"Not Available"
"Govindas Veg Treat";"North Indian, Chinese, Beverages, South American";"Malad West";"4.3 ";"45";"10";"700"
"The Delhi Spice";"Biryani, Chinese, North Indian";"Jog Gor East";"4.2 ";"46";"0";"Not Available"
"Hotel National";"North Indian, Chinese";"Kandivali West";"3.9 ";"43";"Not Available";"999"
"The Burrow Cafe";"Pastas, Continental";"Malad West";"4.4 ";"53";"10";"900"
"Saundha";"North Indian, Biryani, Kebabs, Chaat, Beverages";"Malad Kan West";"4.1 ";"57";"0";"Not Available"
"Raju Pav Bhaji";"Chinese";"Mumbai";"4 ";"40";"Not Available";"749"
"Cha - Ya its cup of tea";"Beverages, Snacks";"Borivali";"4.5 ";"40";"20";"500"
"Coffee By Di Bella Exclusive";"Desserts, Beverages, Fast Food, Waffle, Snacks, Bakery";"Malad West";"4.4 ";"50";"10";"800"
"Jagtap Missal";"Snacks, Indian";"Borivali";"3.8 ";"34";"0";"Not Available"
"Nafees Biryani";"Mughlai";"Malad East";"4.2 ";"38";"30";"150"
"R K Ladoowala";"Indian, Sweets, Desserts";"Dahisar";"3.8 ";"36";"10";"100"
"Biryani-Holic";"Biryani, Indian";"Malad East";"4 ";"38";"30";"150"
"The Green Kitchen";"Fast Food, Indian, Chinese, Continental, Tandoor, Pizzas, South Indian, Mexican";"Borivali";"4.3 ";"39";"0";"Not Available"
"Bindaas Binge ( Cakes, Pastries & More )";"Bakery, Desserts, Sweets";"Malad East";"4.4 ";"38";"0";"Not Available"
"Anytime Misal";"Street Food, Beverages, Desserts";"Borivali";"4.1 ";"37";"0";"Not Available"
"Andawala";"Fast Food, Street Food";"Borivali West";"4.2 ";"33";"0";"Not Available"
"Chatako The Gujju's";"Gujarati";"Dahisar East";"4.4 ";"38";"0";"Not Available"
"Aditi Fast Food";"Street Food, Indian, Chinese, Beverages";"Malad Kan West";"4 ";"63";"0";"Not Available"
"Hotel ShreeDevi";"Indian, Chinese, Punjabi";"Malad West";"4.5 ";"41";"0";"Not Available"
"Thepla Junction";"Snacks";"Kandivali West";"Not Available";"45";"0";"Not Available"
"The Daily Deli";"Continental, American, Pizzas, Pastas, Beverages, Desserts";"Malad West";"4.3 ";"60";"Not Available";"749"
"Cherry's Kitchen";"Indian, Kerala";"Malad West";"3.9 ";"56";"0";"Not Available"
"Annapurna Healthy Kitchen";"Gujarati, Thalis";"Kandivali West";"4.5 ";"66";"0";"Not Available"
"Divya Chinese corner";"Chinese, Indian";"Dahisar East";"4.3 ";"40";"20";"700"
"Medha malvan";"Malwani";"Goregaon";"4.2 ";"59";"15";"800"
"Vedant Snacks Corner";"South Indian, Beverages, North Indian, Juices";"Dahisar West";"4.1 ";"54";"Not Available";"999"
"Noor Biryani Center";"Biryani, Mughlai, North Indian, Indian, Tandoor, Punjabi, Snacks, Desserts";"Borivali West";"3.7 ";"44";"30";"150"
"Dada's Chinese Kitchen";"Chinese";"Malad Kan East";"4.2 ";"49";"25";"125"
"Sun Moon & Potatoes";"Continental, Chinese, Salads, Asian";"Malad West";"4.2 ";"58";"Not Available";"449"
"Arabian Shawarma by Rudy's";"Lebanese, Arabian, Salads";"Borivali West";"4.2 ";"41";"Not Available";"999"
"Fakth Chicken";"Indian, Snacks";"Malad West";"4.4 ";"55";"10";"800"
"Jalaram Kathiyawadi Thali";"Gujarati";"Borivali";"4.3 ";"45";"0";"Not Available"
"Samant Bandhu Nx";"Desserts, Snacks, Sweets, Beverages";"Goregaon West";"4.4 ";"43";"0";"Not Available"
"Silver Oaks";"North Indian, Mughlai, Chinese, Continental";"Malad West";"4.4 ";"54";"0";"Not Available"
"Jai Bholenath Kathiyawadi";"Thalis, Gujarati, Jain";"Dahisar East";"4.1 ";"49";"0";"Not Available"
"Cafe meter on";"Italian, Indian, Chinese, Continental";"Borivali West";"4.4 ";"51";"Not Available";"999"
"Choclato";"Desserts, Bakery";"Dahisar West";"4 ";"41";"0";"Not Available"
"Cafe Lajawab";"Arabian, Snacks";"Malad Kan West";"4 ";"53";"40";"200"
"Mary Fast Food";"Chinese, Fast Food";"Malad Kan West";"4.4 ";"47";"0";"Not Available"
"Satyanarayan Lunch Home";"Chinese, Indian";"Jog Gor East";"4.3 ";"46";"0";"Not Available"
"Uttar Da Puttar";"North Indian, Indian, Punjabi, Biryani";"Goregaon";"4.1 ";"53";"15";"800"
"Alfredo's";"Italian, European";"Malad Kan West";"4.1 ";"55";"10";"1000"
"Al-Falah Shawarma";"Lebanese";"Borivali West";"4.4 ";"51";"0";"Not Available"
"Mothers Touch Rajasthani";"Indian, Snacks";"Malad West";"4.1 ";"81";"Not Available";"999"
"Cravings all day";"Bakery, Desserts";"Goregaon West	";"4.7 ";"44";"Not Available";"349"
"Big Fat Monk";"Chinese, Asian, Fast Food, Desserts, Beverages";"Malad West";"4.1 ";"53";"Not Available";"449"
"44 The Food Hub";"Chinese, South Indian";"Malad Kan West";"4.4 ";"54";"10";"700"
"Radha Krishna Fast Food - Mahavir Nagar";"Indian, Chinese";"Kandivali West";"4.1 ";"40";"0";"Not Available"
"Aniket Chinese Corner";"Chinese, North Indian, Biryani";"Malad Kan West";"3.5 ";"28";"0";"Not Available"
"Jungle Juice";"Beverages, Juices";"Borivali";"4.5 ";"29";"0";"Not Available"
"Indore.Online";"Sweets, Street Food";"Malad Kan East";"4.3 ";"14";"0";"Not Available"
"Rolls Mania";"Fast Food";"Malad East";"4.3 ";"46";"0";"Not Available"
"Vinayak Ankit Sandwich";"Snacks, Continental";"Kandivali West";"4.4 ";"51";"15";"500"
"Hari Om Khaman House";"Gujarati, Snacks, Sweets";"Borivali";"4.4 ";"32";"0";"Not Available"
"Fusion Ice Cream Cakes";"Ice Cream, Desserts, Bakery, Beverages";"Borivali West";"4.5 ";"30";"Not Available";"999"
"Hotel Milan Pure Veg";"Indian";"Malad East";"4.2 ";"35";"Not Available";"449"
"TIBO Dalwada";"Street Food, Desserts";"Kandivali West";"4.6 ";"34";"0";"Not Available"
"Brain Freeze Ice cream & Desserts";"Ice Cream, Desserts";"Borivali";"3.8 ";"33";"0";"Not Available"
"Farmhouse-Palladium";"Indian, Tandoor, Chinese, Continental, Biryani, Seafood, Pizzas, Pastas";"Borivali West";"4.3 ";"53";"0";"Not Available"
"Amantran Restaurant";"Meat";"Dahisar";"4.2 ";"47";"0";"Not Available"
"Monopoly-The Chinese Edition";"Chinese, Oriental, Continental";"Borivali West";"3.9 ";"44";"0";"Not Available"
"Dinshaw's Xpress Cafe And Restro";"Indian, Continental, Mexican, Pizzas, Pastas, Burgers, Snacks, Fast Food, Beverages, Juices, Ice Cream, Desserts";"Borivali West";"4.5 ";"48";"0";"Not Available"
"The Nature Bar";"Salads, Keto, Burgers, Beverages, Mediterranean, American, Healthy Food, Grill, Greek";"Jog Gor East";"4.4 ";"51";"Not Available";"999"
"Aakash Sweets and Snacks";"Sweets, Snacks";"Borivali West";"4.4 ";"30";"0";"Not Available"
"Nagpal's Choley Bhature";"North Indian";"Malad Kan East";"4.1 ";"36";"0";"Not Available"
"Mumbadevi Jalebi Wala";"Snacks, Sweets";"Borivali";"4.6 ";"36";"Not Available";"999"
"Chhotu's Kitchen";"Chinese";"Borivali West";"4.2 ";"33";"0";"Not Available"
"Desai Bhaishankar Gaurishanar (K.P.)";"Sweets";"Malad Kan East";"4.8 ";"34";"10";"700"
"Shree Makhan Bhog";"Chaat, Snacks, Sweets";"Malad";"4.1 ";"38";"0";"Not Available"
"Shawarma Heaven";"Lebanese, Chinese, Indian, Continental, Tandoor";"Malad West";"4.3 ";"38";"15";"900"
"Sattva";"North Indian, Chinese";"Borivali West";"4.4 ";"35";"Not Available";"999"
"Seeta Nx";"Chinese";"Borivali West";"4.3 ";"39";"0";"Not Available"
"Night Evil Chinese Food";"Chinese";"Borivali West";"4.1 ";"38";"0";"Not Available"
"Bhoomi Kolhapuri";"Street Food";"Raja Dalvi Marg";"4 ";"30";"0";"Not Available"
"Hotel Payal";"Indian, Chinese";"Dahisar";"4.3 ";"38";"0";"Not Available"
"Fling Confectionery";"Bakery, Desserts";"Borivali";"4.4 ";"31";"0";"Not Available"
"Pipasa";"Beverages, Snacks";"Borivali";"4.4 ";"30";"0";"Not Available"
"Dessert Junction";"Desserts, Fast Food";"Borivali West";"4.3 ";"36";"0";"Not Available"
"Bina's Fresh Batch Homemade Ice Cream";"Desserts, Ice Cream";"Malad Kan West";"4.2 ";"49";"Not Available";"1099"
"Samvene - The Bagel Cafe";"American, Burgers, Italian, Continental, Pizzas, Pastas, Beverages, Snacks";"Malad West";"4.5 ";"55";"15";"900"
"Wokstreet";"Chinese, Fast Food";"Malad Kan West";"3.5 ";"59";"Not Available";"999"
"Moments";"Bakery, Desserts";"Malad Kan West";"4.5 ";"51";"0";"Not Available"
"Hotel Malvan Katta";"Biryani";"VIthbhati, Goregoan (East) 3)";"4.2 ";"44";"0";"Not Available"
"Sindhi Tadka";"Sindhi, North Indian, Indian";"Kandivali West";"3.6 ";"42";"0";"Not Available"
"Kokan Katta";"Seafood, Chinese, Indian, North Indian, Beverages, Biryani";"Chincholi Bunder Road";"4.2 ";"57";"Not Available";"449"
"The Fusion Kitchen";"Italian, Asian";"Borivali West";"4.5 ";"49";"0";"Not Available"
"Oriental Stir Fry";"Fast Food, Chinese, South Indian, Indian";"Borivali";"3.8 ";"45";"0";"Not Available"
"Zesty Kitchen";"Indian, Seafood, North Indian, Biryani, South Indian, Bengali, Malwani";"Goregaon";"4.1 ";"62";"15";"900"
"Konkan Spice";"South Indian, Malwani";"Malad West";"4 ";"52";"0";"Not Available"
"Chholay";"North Indian, Indian, Jain";"Malad West";"4.3 ";"51";"Not Available";"449"
"British Brewing Company";"Italian, American, Indian, Asian";"Goregaon East";"4.3 ";"53";"0";"Not Available"
"Zoodles";"Pan-Asian, Chinese, Seafood, Thai, Asian, Desserts";"Malad West";"4.6 ";"59";"Not Available";"249"
"Shawarma House Express";"Indian, Beverages, Turkish";"Malad Kan West";"4.1 ";"47";"0";"Not Available"
"Hotel Jyoti";"Indian";"Malad Kan East";"4.1 ";"43";"0";"Not Available"
"Ahare Bangla";"Bengali";"Malad Kan East";"4.8 ";"69";"0";"Not Available"
"Classic Veg Restaurant";"Chinese";"Malad Kan East";"4.3 ";"43";"0";"Not Available"
"The Boston Cafe & Patisserie";"Desserts, Bakery";"Malad West";"4.5 ";"51";"20";"50"
"Makhan Maar ke";"North Indian";"Borivali West";"4.1 ";"43";"0";"Not Available"
"Amber Restaurant";"Chinese, Indian, Tandoor";"trikamdas road ";"4.1 ";"44";"Not Available";"499"
"The Bombay Chaat Co by Spukies";"Chaat, South Indian, Juices, Beverages";"Jog Gor East";"4.3 ";"47";"10";"800"
"Only Roti's";"Desserts";"Malad West";"4.5 ";"68";"30";"150"
"Om Snacks";"Pizzas, Pastas";"Goregaon";"4.5 ";"49";"0";"Not Available"
"Golden Leaf Restaurant";"Chinese, Street Food, South Indian";"Kandivali West";"4.4 ";"50";"Not Available";"749"
"The Local Eatery";"Indian, Chinese";"Malad West";"4.3 ";"50";"0";"Not Available"
"Nityanand Lunch Home And Hotel";"Biryani, Tandoor, Chinese";"Jog Gor East";"3.8 ";"47";"10";"1000"
"Street Gourmet";"South Indian, Indian, Chinese";"Borivali West";"4.1 ";"40";"0";"Not Available"
"Spirit Kitchen and Bar";"Indian, Chinese";"Borivali West";"4.4 ";"54";"0";"Not Available"
"Hotel Shree Prabhu Niketan";"Indian, Chinese";"Malad East";"4.3 ";"41";"0";"Not Available"
"Image Restaurant";"North Indian, Chinese, Kebabs, Biryani, Mangalorean, Desserts, Tandoor";"Goregaon West";"4.5 ";"55";"0";"Not Available"
"J.B.Dynasty And Malwani Kalwan";"Chinese, Malwani, Indian, Oriental";"Malad West";"4.4 ";"48";"10";"1500"
"The Mak Broasted Fastfood";"Continental, Italian";"Malad Kan East";"3.6 ";"63";"Not Available";"449"
"The Veg Treat Celebrations";"South Indian, Punjabi, Chinese, Italian, Mexican";"Dahisar";"4.5 ";"41";"0";"Not Available"
"Uncle's Corner";"Chinese, Tandoor, Seafood, Thai, Biryani, Indian";"Borivali";"4.4 ";"61";"0";"Not Available"
"Enrich Kulfi";"Desserts, Ice Cream";"Malad West";"4.6 ";"40";"Not Available";"999"
"Fort Kochi";"South Indian, Kerala";"Goregaon";"4.2 ";"53";"0";"Not Available"
"Samarth Sagar (Pure Veg)";"Chinese, North Indian, South Indian, Chaat";"Mumbai";"4.1 ";"50";"0";"Not Available"
"Schumania";"Indian, Chinese";"Borivali";"4.3 ";"52";"Not Available";"999"
"Rollzilla";"North Indian";"Kandivali West";"4.2 ";"43";"0";"Not Available"
"Healing Rice Bowls";"Indian, South Indian, Punjabi";"Malad West";"3.9 ";"62";"0";"Not Available"
"The Big Squeeze";"Juices, Healthy Food, Beverages";"Malad West";"4.1 ";"54";"Not Available";"499"
"KBC - Kebaabs, Biryani, Curries";"Kebabs, Biryani, North Indian, Indian, Snacks";"Goregaon East";"4.2 ";"53";"Not Available";"249"
"The Chai Fusion";"Chinese, Continental";"Borivali";"4.3 ";"48";"10";"100"
"Ether Atelier Chocolate";"Desserts, Bakery";"Malad Kan West";"Not Available";"48";"50";"100"
"Bombay Fast Food";"Fast Food";"Borivali";"Not Available";"43";"0";"Not Available"
"Cake Valley";"Bakery, Desserts, Beverages";"Malad Kan West";"4 ";"50";"30";"150"
"Cake & Bake";"Bakery";"Borivali West";"3.3 ";"42";"0";"Not Available"
"The Lunchbox";"Indian, Thalis";"Malad Kan East";"Not Available";"42";"0";"Not Available"
"Hotel Samadhan";"Malwani, Maharashtrian, Indian";"Jog Gor East";"4.3 ";"59";"0";"Not Available"
"The Waffle Man From the House Of Cookieman";"Waffle, Desserts, Ice Cream";"Malad Kan West";"4.1 ";"58";"40";"80"
"Sigree Global Grill";"North Indian, Mughlai, Kebabs, Mediterranean, Greek, Turkish, Lebanese";"Malad West";"4.3 ";"64";"Not Available";"1099"
"Only Parathas";"North Indian, Thalis, Chaat, Chinese, Snacks, Beverages";"Malad West";"3.8 ";"60";"0";"Not Available"
"The King's Field";"Indian, Chinese, Tandoor, Snacks";"Malad Kan East";"4.4 ";"31";"0";"Not Available"
"Nagrik Sweets And Farsan";"Indian";"Dahisar";"4.5 ";"35";"0";"Not Available"
"Rashmin Dairy Farm";"Indian";"Malad Kan East";"4.1 ";"32";"0";"Not Available"
"Bbc Express-By Borivali Biryani Centre";"Biryani, Chinese, North Indian, Punjabi, Kebabs, Afghani";"Borivali";"4.4 ";"35";"0";"Not Available"
"Emrik The Cake Point";"Bakery, Snacks, Desserts";"Malad Kan West";"4.5 ";"34";"Not Available";"449"
"Gayatri Sweets and Farsan";"North Indian, Fast Food, South Indian, Sweets";"Borivali";"4.4 ";"35";"0";"Not Available"
"Riga Chinese Corner";"Chinese, Indian";"Dahisar";"4.2 ";"37";"0";"Not Available"
"Magari";"Continental, Italian, Beverages";"Kandivali West";"4.2 ";"34";"Not Available";"999"
"shaan hotel";"North Indian, Indian";"Malad Kan East";"3.8 ";"37";"50";"1000"
"Brijwasi Sweets and Snacks";"Sweets";"Kandivali West";"3.9 ";"36";"Not Available";"749"
"Pav Bhaji Klub";"Indian";"Borivali";"4.3 ";"36";"Not Available";"749"
"Tasty Chinese Hotel";"Chinese";"Malad Kan East";"4.5 ";"36";"30";"150"
"Wow Bistro - Evershine Club";"Indian";"Kandivali East";"4.8 ";"46";"0";"Not Available"
"H & Charlie";"Burgers, Steakhouse, Desserts, Beverages, Cafe, Fast Food, Pastas";"Borivali West";"4.3 ";"58";"Not Available";"449"
"Royal Manglore";"Meat";"Dahisar";"4 ";"51";"0";"Not Available"
"Healthy Deck";"Continental, Beverages, Keto, Ice Cream, Salads";"Kandivali West";"4.4 ";"46";"15";"100"
"Delhi Darbar Biryani Hub";"Biryani, North Indian";"Malad Kan East";"4.1 ";"44";"0";"Not Available"
"Burgizza";"Pizzas, Italian";"Malad West";"4.4 ";"56";"Not Available";"749"
"Celebrations By Kilo";"North Indian, Chinese";"Jog Gor East";"3.9 ";"52";"0";"Not Available"
"Houseboat Cafe";"Kerala, South Indian";"Malad Kan West";"3.9 ";"56";"0";"Not Available"
"Veg Treat Regalia";"North Indian, Indian, Chinese, Continental";"Borivali West";"4.5 ";"42";"0";"Not Available"
"Oh! It's Fishy";"Indian, Tandoor, Seafood, Chinese";"Dahisar East";"3.9 ";"49";"0";"Not Available"
"Brijwasi Snack Foods";"Snacks, Street Food, Chaat, Fast Food";"Malad Kan West";"4.4 ";"54";"20";"120"
"Daffodils 23";"Indian, Chinese, Beverages, Mexican, Continental";"Kandivali West";"4.4 ";"44";"Not Available";"599"
"Sumeruu";"Chinese, Indian";"Dahisar West";"4.6 ";"52";"0";"Not Available"
